by 医工学习日志 v2.3.5 2024-10-14
央视频道,#genre#
CCTV央视台球,http://116.207.108.62:4000/udp/239.69.1.98:10224
卫视频道,#genre#
重庆卫视,http://www.iworknet.cn:8888/udp/239.69.1.149:10530
重庆卫视,http://116.207.108.62:4000/udp/239.69.1.149:10530
重庆卫视,http://219.139.62.21:60001/udp/239.69.1.149:10530
重庆卫视,http://iworknet.cn:8888/udp/239.69.1.149:10530
重庆卫视,http://171.114.230.99:4000/udp/239.69.1.149:10530
重庆卫视,http://221.232.101.62:4000/udp/239.69.1.149:10530
江苏卫视,http://iworknet.cn:8888/udp/239.254.96.144:8938
江苏卫视,http://171.114.230.99:4000/udp/239.254.96.144:8938
江苏卫视,http://219.139.62.21:60001/udp/239.254.96.144:8938
江苏卫视,http://221.232.101.62:4000/udp/239.254.96.144:8938
江苏卫视,http://116.207.108.62:4000/udp/239.254.96.144:8938
江苏卫视,http://www.iworknet.cn:8888/udp/239.254.96.144:8938
浙江卫视,http://iworknet.cn:8888/udp/239.254.96.143:8932
浙江卫视,http://116.207.108.62:4000/udp/239.254.96.143:8932
浙江卫视,http://www.iworknet.cn:8888/udp/239.254.96.143:8932
浙江卫视,http://221.232.101.62:4000/udp/239.254.96.143:8932
浙江卫视,http://219.139.62.21:60001/udp/239.254.96.143:8932
浙江卫视,http://171.114.230.99:4000/udp/239.254.96.143:8932
东方卫视,http://171.114.230.99:4000/udp/239.254.96.142:8926
东方卫视,http://www.iworknet.cn:8888/udp/239.254.96.142:8926
东方卫视,http://iworknet.cn:8888/udp/239.254.96.142:8926
东方卫视,http://116.207.108.62:4000/udp/239.254.96.142:8926
东方卫视,http://219.139.62.21:60001/udp/239.254.96.142:8926
东方卫视,http://221.232.101.62:4000/udp/239.254.96.142:8926
深圳卫视,http://www.iworknet.cn:8888/udp/239.254.96.137:8896
深圳卫视,http://171.114.230.99:4000/udp/239.254.96.137:8896
深圳卫视,http://221.232.101.62:4000/udp/239.254.96.137:8896
深圳卫视,http://219.139.62.21:60001/udp/239.254.96.137:8896
深圳卫视,http://iworknet.cn:8888/udp/239.254.96.137:8896
深圳卫视,http://116.207.108.62:4000/udp/239.254.96.137:8896
北京卫视,http://116.207.108.62:4000/udp/239.254.96.141:8920
北京卫视,http://iworknet.cn:8888/udp/239.254.96.141:8920
北京卫视,http://171.114.230.99:4000/udp/239.254.96.141:8920
北京卫视,http://219.139.62.21:60001/udp/239.254.96.141:8920
北京卫视,http://221.232.101.62:4000/udp/239.254.96.141:8920
北京卫视,http://www.iworknet.cn:8888/udp/239.254.96.141:8920
山东卫视,http://www.iworknet.cn:8888/udp/239.69.1.69:10054
山东卫视,http://116.207.108.62:4000/udp/239.69.1.69:10054
山东卫视,http://221.232.101.62:4000/udp/239.69.1.69:10054
山东卫视,http://iworknet.cn:8888/udp/239.69.1.69:10054
山东卫视,http://219.139.62.21:60001/udp/239.69.1.69:10054
山东卫视,http://171.114.230.99:4000/udp/239.69.1.69:10054
天津卫视,http://www.iworknet.cn:8888/udp/239.69.1.68:10048
天津卫视,http://219.139.62.21:60001/udp/239.69.1.68:10048
天津卫视,http://171.114.230.99:4000/udp/239.69.1.68:10048
天津卫视,http://116.207.108.62:4000/udp/239.69.1.68:10048
天津卫视,http://iworknet.cn:8888/udp/239.69.1.68:10048
